#mOTU	consensus_taxonomy	NCBI_tax_id	PV237
ref_mOTU_v31_00815	Buttiauxella agrestis	82977	1
ref_mOTU_v31_01336	Sphingomonas sp. [Sphingomonas sp. Ant20/Sphingomonas sp. FUKUSWIS1/Sphingomonas sp. Leaf226/Sphingomonas sp. Leaf30]	NA	1
ref_mOTU_v31_01417	Klenkia taihuensis/brasiliensis	NA	1
ref_mOTU_v31_02182	Chryseobacterium sp. Leaf201	1735672	1
ref_mOTU_v31_04478	Rhodococcus sp. [Rhodococcus sp. MEB064/Rhodococcus sp. Leaf7/Rhodococcus sp. Leaf247]	NA	1
ref_mOTU_v31_04738	Pseudomonas lutea	243924	1
ref_mOTU_v31_04743	Rhizobium sp. [Rhizobium sp. NFR12/Rhizobium sp. Leaf306/Rhizobium sp. Leaf321]	NA	1
ref_mOTU_v31_05161	Microbacterium sp. T32	1776083	1
ref_mOTU_v31_05301	Frigoribacterium sp. [Frigoribacterium sp. Leaf172/Frigoribacterium sp. Leaf263]	NA	1
ref_mOTU_v31_06911	Hymenobacter daecheongensis	496053	1
ref_mOTU_v31_06912	Hymenobacter norwichensis	223903	1
ref_mOTU_v31_07381	Candidatus Blastococcus massiliensis	1470358	1
ref_mOTU_v31_09217	Chryseobacterium sp. Leaf180	1736289	1
ref_mOTU_v31_09243	Leifsonia sp. Root112D2	1736426	1
