	otu	matches	hit
0	AEV1	['AEV1', 'AV1', 'TAV1']	AEV1
1	AEYV	['AEYV', 'AEV1', 'SABYV']	AEYV
2	AGLV	['AGLV1', 'GALV', 'BGLV']	AGLV1
3	AhPV1	['AhPV1', 'AV1', 'TAV1']	AhPV1
4	ALaV	['ALaV2', 'ALaV1', 'GALV']	ALaV1
5	AMCV	['AMCV', 'PAMV', 'EMCV']	AMCV
6	AMMV	['AMMV', 'PAMV', 'OMMV']	AMMV
7	AMoV	['AMoV', 'WMoV', 'PAMV']	AMoV
8	AMV	['PAMV', 'AMoV', 'AMV2']	AMV2
9	AV1	['AV1', 'TAV1', 'AMV1']	AV1
10	BaVG	['BaVG', 'LBVaV2', 'LBVaV1']	BaVG
11	BBSV	['BBSV', 'TBSV', 'BYSMV']	BBSV
12	BChV	['BChV', 'BCTV', 'BCMV']	BChV
13	BCMV	['BCMV', 'YBMV', 'SCMV']	BCMV
14	BCRV	['BCRV1', 'CIRV', 'BChV']	BCRV1
15	BCTIV	['BCTIV', 'BCTV', 'BSCTV']	BCTIV
16	BCTV	['BCTV', 'BSCTV', 'BMCTV']	BCTV
17	BGLV	['BGLV', 'GALV', 'AGLV1']	BGLV
18	BMCTV	['BMCTV', 'BCTV', 'BSCTV']	BMCTV
19	BMV	['YBMV', 'BMYV', 'BMV3']	BMV3
20	BMYV	['BMYV', 'PBMYV', 'YBMV']	BMYV
21	BPeMV	['BPeMV', 'YBMV', 'PAMV']	BPeMV
22	BPEV	['BPEV', 'PEMV1', 'BPeMV']	BPEV
23	BrYV	['BWYV', 'BMYV', 'SABYV']	
24	BSCTV	['BSCTV', 'BCTV', 'SCTAV']	BSCTV
25	BWYV	['BWYV', 'BMYV', 'WLYaV']	BWYV
26	BYDV_GAV	['BYDV_GAV', 'BYDV_PAV', 'BYDV_MAV']	BYDV_GAV
27	BYDV_GPV	['BYDV_GPV', 'WYDV_GPV', 'BYDV_PAV']	BYDV_GPV
28	BYDV_KerII	['BYDV_KerII']	BYDV_KerII
29	BYDV_MAV	['BYDV_MAV', 'BYDV_PAV', 'BYDV_GAV']	BYDV_MAV
30	BYDV_PAS	['BYDV_PAS', 'BYDV_PAV', 'CYDV_RPS']	BYDV_PAS
31	BYDV_PAV	['BYDV_PAV', 'BYDV_PAS', 'BYDV_MAV']	BYDV_PAV
32	BYSMV	['BYSMV', 'YSV', 'YMV']	BYSMV
33	CABMV	['CABMV', 'CABYV', 'YBMV']	CABMV
34	CABYV	['CABYV', 'SABYV', 'PABYV']	CABYV
35	CaMV	['CaMV', 'SCMV', 'CMV3']	CaMV
36	CCFV	['CCFV', 'CpCSV', 'RCCV_1']	CCFV
37	CGMMV	['CGMMV', 'GMMV3', 'GMMV1']	CGMMV
38	CIRV	['CIRV', 'CtRLV', 'CLRDV']	CIRV
39	CLLV	['CLLV', 'CLSV', 'LLDAV']	CLLV
40	CLRDV	['CLRDV', 'PLRV', 'CLSV']	CLRDV
41	CLSV	['CLSV', 'CLLV', 'CtRLV']	CLSV
42	CmEV	['CmEV', 'CymRSV']	CmEV
43	CMV	['SCMV', 'CaMV', 'CMV3']	CMV3
44	CMV_satRNA	['CMV_satRNA']	CMV_satRNA
45	CNV	['CNV', 'TCV', 'PNV']	CNV
46	CP1	['CP1']	CP1
47	CpCSV	['CpCSV', 'CLSV', 'CCFV']	CpCSV
48	CtRLV	['CtRLV', 'CLSV', 'CLLV']	CtRLV
49	CYDV_RPS	['CYDV_RPS', 'CYDV_RPV', 'BYDV_PAS']	CYDV_RPS
50	CYDV_RPV	['CYDV_RPV', 'CYDV_RPS', 'WYDV_GPV']	CYDV_RPV
51	CymRSV	['CymRSV', 'CmEV', 'CLSV']	CymRSV
52	DuMV	['DuMV', 'TuMV', 'MDMV']	DuMV
53	DYVV	['DYVV']	DYVV
54	EMCV	['EMCV', 'EMDV', 'AMCV']	EMCV
55	EMDV	['EMDV', 'MYDV', 'MDMV']	EMDV
56	FClCV	['FClCV_1', 'CCFV', 'WClMV']	FClCV_1
57	FMV	['FMV1', 'YMV', 'WMV']	
58	FVY	['FVY', 'PVY']	FVY
59	GALV	['GALV', 'GRAV', 'BGLV']	GALV
60	GMMV	['GMMV3', 'GMMV1', 'CGMMV']	GMMV3
61	GRAV	['GRAV', 'GALV']	GRAV
62	HRV	['HRV', 'RMV']	HRV
63	HvEV	['HvEV']	HvEV
64	IJGMV	['IJGMV', 'JGMV', 'TMGMV']	IJGMV
65	IYMoV1	['IYMoV1', 'IYMoV2', 'PMoV1']	IYMoV1
66	IYMoV2	['IYMoV2', 'IYMoV1', 'PMoV2']	IYMoV2
67	JGMV	['JGMV', 'IJGMV', 'TMGMV']	JGMV
68	LBVaV	['LBVaV2', 'LBVaV1', 'BaVG']	LBVaV2
69	LLDAV	['LLDAV', 'CLLV', 'CLRDV']	LLDAV
70	LMV	['LMV', 'LYMoV', 'YMV']	LMV
71	LYMoV	['LYMoV', 'YMV', 'LMV']	LYMoV
72	MABYV	['MABYV', 'SABYV', 'PABYV']	MABYV
73	MDMV	['MDMV', 'OMMV', 'MYDV']	MDMV
74	MPV	['MPV', 'YMV', 'WMV']	MPV
75	MYDV	['MYDV', 'MYDV2', 'MDMV']	MYDV
76	MYDV2	['MYDV2', 'MYDV', 'PDV2']	MYDV2
77	ObPV	['ObPV']	ObPV
78	OLV1	['OLV1', 'ALaV1', 'AGLV1']	OLV1
79	OMMV	['OMMV', 'MDMV', 'AMMV']	OMMV
80	PABYV	['PABYV', 'SABYV', 'PBMYV']	PABYV
81	PaMMV	['PaMMV', 'PMMoV', 'PAMV']	PaMMV
82	PAMV	['PAMV', 'AMoV', 'AMV2']	PAMV
83	PBMYV	['PBMYV', 'BMYV', 'PABYV']	PBMYV
84	PCV2	['PCV2', 'SPCSV2', 'PLCV']	PCV2
85	PDV	['PDV2', 'PDV1', 'PeYDV']	PDV2
86	PEMV1	['PEMV1', 'PMoV1', 'PSV1']	PEMV1
87	PeYDV	['PeYDV', 'PDV2', 'PDV1']	PeYDV
88	PLCV	['PLCV', 'PoLV', 'PLRV']	PLCV
89	PLRV	['PLRV', 'PoLV', 'PLCV']	PLRV
90	PMMoV	['PMMoV', 'PaMMV', 'PMoV3']	PMMoV
91	PMoV	['PMoV3', 'PMoV2', 'PMoV1']	PMoV3
92	PNRSV	['PNRSV3', 'PNSV', 'PNV']	PNRSV3
93	PNSV	['PNSV', 'PNV', 'PNRSV3']	PNSV
94	PNV	['PNV', 'PNSV', 'PWV']	PNV
95	PoLV	['PoLV', 'PLRV', 'PLCV']	PoLV
96	PPV	['PPV', 'PWV', 'PVY']	PPV
97	PSV	['PSV3', 'PSV1', 'PNSV']	PSV1
98	PVY	['PVY', 'PVYV', 'PWV']	PVY
99	PVYV	['PVYV', 'PVY', 'PeYDV']	PVYV
100	PWV	['PWV', 'WMV', 'WDV']	PWV
101	PZSV	['PZSV3', 'PZSV2', 'PZSV1']	PZSV3
102	RCCV	['RCCV_1', 'CCFV', 'RuCMV']	RCCV_1
103	RheMV	['RheMV', 'RMV', 'TelMV']	RheMV
104	RMV	['RMV', 'RuCMV', 'RheMV']	RMV
105	RRV	['RRV1', 'RMV', 'HRV']	RRV1
106	RsCV1	['RsCV3_1', 'RsCV2_1', 'RsCV1_2']	RsCV1_2
107	RsCV2	['RsCV2_1', 'RsCV1_2', 'RsCV3_1']	RsCV2_1
108	RsCV3	['RsCV3_1', 'RsCV2_1', 'RsCV1_2']	RsCV3_1
109	RuCMV	['RuCMV', 'RMV', 'TuMV']	RuCMV
110	SABYV	['SABYV', 'PABYV', 'MABYV']	SABYV
111	SaYV	['SaYV', 'ScaMV', 'ScYLV']	SaYV
112	SbDV	['SbDV', 'SbMV', 'SbMMoV']	SbDV
113	SbMMoV	['SbMMoV', 'SbMV', 'PMMoV']	SbMMoV
114	SbMV	['SbMV', 'SbMMoV', 'WSMV']	SbMV
115	ScaMV	['ScaMV', 'WSMV', 'SrMV']	ScaMV
116	SCMV	['SCMV', 'WSMV', 'SrMV']	SCMV
117	SCTAV	['SCTAV', 'BSCTV', 'SpSCTV']	SCTAV
118	ScYLV	['ScYLV', 'SaYV', 'ScaMV']	ScYLV
119	SNSV	['SNSV2', 'TNSV', 'PNSV']	SNSV2
120	SPCSV	['SPCSV2', 'SPCSV1', 'SCMV']	SPCSV1
121	SpSCTV	['SpSCTV', 'SCTAV', 'BSCTV']	SpSCTV
122	SrMV	['SrMV', 'WSMV', 'SbMV']	SrMV
123	TAV	['TAV3', 'TAV2', 'TAV1']	TAV3
124	TBRFV	['TBRFV', 'TRoV', 'TBSV']	TBRFV
125	TBSV	['TBSV', 'TSV2', 'TSV1']	TBSV
126	TCV	['TCV', 'TVCV', 'TuVCV']	TCV
127	TelMV	['TelMV', 'TMV', 'TuMV']	TelMV
128	TMGMV	['TMGMV', 'ToMMV', 'TMV']	TMGMV
129	TMV	['TMV', 'TuMV', 'ToMV']	TMV
130	TNSV	['TNSV', 'TSV2', 'TSV1']	TNSV
131	TNVA	['TNVA', 'TNVD', 'TNSV']	TNVA
132	TNVD	['TNVD', 'TVDV', 'TNVA']	TNVD
133	ToLCNDV	['ToLCNDVB', 'TCV', 'CNV']	ToLCNDVB
134	ToMMV	['ToMMV', 'ToMV', 'TMGMV']	ToMMV
135	ToMV	['ToMV', 'ToMMV', 'TMV']	ToMV
136	TRoV	['TRoV', 'ToMV', 'ToMMV']	TRoV
137	TSAMV	['TSAMV', 'TMV', 'WSMV']	TSAMV
138	TSV	['TSV2', 'TSV1', 'TNSV']	TSV1
139	TuMV	['TuMV', 'TMV', 'TuYV']	TuMV
140	TuVCV	['TuVCV', 'TVCV', 'TCV']	TuVCV
141	TuYV	['TuYV', 'TuMV', 'TYMV']	TuYV
142	TVCV	['TVCV', 'TuVCV', 'TCV']	TVCV
143	TVDV	['TVDV', 'TVCV', 'TNVD']	TVDV
144	TYMV	['TYMV', 'YMV', 'TMV']	TYMV
145	VCV	['TVCV', 'VCV_2', 'VCV_1']	VCV_2
146	WClMV	['WClMV', 'WMV', 'WSMV']	WClMV
147	WDV	['WDV', 'WMV', 'PWV']	WDV
148	WLYaV	['WLYaV', 'BWYV', 'LYMoV']	WLYaV
149	WMoV	['WMoV', 'WMV', 'WSMV']	WMoV
150	WMV	['WMV', 'WSMV', 'WMoV']	WMV
151	WSMV	['WSMV', 'WMV', 'WMoV']	WSMV
152	WYDV	['WDV', 'MYDV', 'BWYV']	
153	YBMV	['YBMV', 'YMV', 'ZYMV']	YBMV
154	YMV	['YMV', 'ZYMV', 'YoMV']	YMV
155	YoMV	['YoMV', 'YMV', 'ZYMV']	YoMV
156	YSV	['YSV', 'BYSMV', 'YMV']	YSV
157	ZYMV	['ZYMV', 'YMV', 'YoMV']	ZYMV
